"longitude","latitude","sst","chlc","phoebastria_immutabilis","nyear","nmonth"
-121.93279,28.361769,17.935318,0.07515987,1,2014,1
-120.135574,28.363977,17.576561,0.10387156,1,2014,1
-121.86817,28.365232,17.770144,0.08186915,1,2014,1
-121.82937,28.372084,17.722248,0.08746684,1,2014,1
-120.09749,28.37374,17.622686,0.097731076,1,2014,1
-125.084694,28.379892,18.021778,0.068915,1,2014,1
-120.84153,28.381157,17.358849,0.11246872,1,2014,1
-122.11368,28.381693,18.130138,0.06764215,1,2014,1
-121.76307,28.382809,17.713049,0.08940996,1,2014,1
-120.138336,28.388454,17.490866,0.10341682,1,2014,1
-121.69602,28.397858,17.646688,0.08059146,1,2014,1
-120.02965,28.402542,17.595835,0.09777809,1,2014,1
-121.63141,28.403599,17.66206,0.08212463,1,2014,1
-120.63489,28.4051,17.356234,0.1133725,1,2014,1
-125.13159,28.405485,17.96068,0.065300666,1,2014,1
-121.565475,28.413307,17.65453,0.08487974,1,2014,1
-120.79492,28.416204,17.223022,0.122908734,1,2014,1
-120.557526,28.416363,17.342966,0.11363819,1,2014,1
-125.20378,28.42288,17.994936,0.0618203,1,2014,1
-120.585945,28.423782,17.364576,0.11825357,1,2014,1
-120.61156,28.426456,17.296947,0.11520825,1,2014,1
-120.579025,28.429142,17.277637,0.11163357,1,2014,1
-121.50408,28.429716,17.611782,0.083708584,1,2014,1
-120.65236,28.433317,17.284294,0.11355178,1,2014,1
-119.961174,28.436592,17.509901,0.11170985,1,2014,1
-125.26883,28.438227,17.952028,0.06967375,1,2014,1
-120.75716,28.442738,17.11307,0.12462429,1,2014,1
-120.49701,28.443058,17.228222,0.117025636,1,2014,1
-120.558815,28.44498,17.233343,0.11446953,1,2014,1
-122.10796,28.446821,17.919104,0.06982871,1,2014,1
-121.43111,28.45156,17.571556,0.08605255,1,2014,1
-120.43467,28.458994,17.355091,0.116263136,1,2014,1
-120.13509,28.460962,17.393309,0.10183525,1,2014,1
-125.32608,28.461552,17.963669,0.06951047,1,2014,1
-125.32553,28.463156,17.904707,0.060468737,1,2014,1
-119.86315,28.470392,17.404501,0.11240347,1,2014,1
-120.3888,28.472265,17.305246,0.11285333,1,2014,1
-120.28105,28.472935,17.329445,0.11601971,1,2014,1
-121.360435,28.477165,17.508146,0.087274574,1,2014,1
-119.84957,28.477222,17.392328,0.11846355,1,2014,1
-120.34194,28.478857,17.353758,0.11375166,1,2014,1
-120.3045,28.479523,17.351604,0.11185627,1,2014,1
-125.37455,28.482391,17.921053,0.06832521,1,2014,1
-120.715225,28.484447,17.07137,0.124559425,1,2014,1
-119.811615,28.487297,17.399883,0.11572238,1,2014,1
-120.68013,28.488476,17.148718,0.13271411,1,2014,1
-121.31397,28.488792,17.445597,0.08741906,1,2014,1
-120.23054,28.492044,17.318037,0.11796482,1,2014,1
-125.43506,28.497982,17.933931,0.06593914,1,2014,1
-121.25267,28.503862,17.333902,0.09740784,1,2014,1
-120.16093,28.508945,17.190758,0.11512429,1,2014,1
-119.75322,28.511845,17.369822,0.11811774,1,2014,1
-122.1085,28.514862,17.662708,0.082132496,1,2014,1
-120.08938,28.524006,17.267708,0.113867775,1,2014,1
-125.49229,28.525082,17.97097,0.06759734,1,2014,1
-121.1871,28.526136,17.250881,0.10191666,1,2014,1
-119.68251,28.536264,17.431063,0.11243263,1,2014,1
-120.04651,28.537733,17.1151,0.12151488,1,2014,1
-120.10932,28.546312,17.117498,0.115130804,1,2014,1
-125.55374,28.550028,17.97568,0.07308632,1,2014,1
-121.11598,28.553164,17.088043,0.11071264,1,2014,1
-119.99671,28.556442,17.137264,0.11932607,1,2014,1
-119.61129,28.559715,17.466179,0.115334824,1,2014,1
