"longitude","latitude","sst","chlc","phoebastria_immutabilis","nyear","nmonth"
-117.77351,28.227709,18.090267,0.08539986,1,2014,3
-116.98727,28.22921,17.92157,0.14446951,1,2014,3
-117.24633,28.22969,18.010391,0.0975046,1,2014,3
-116.0896,28.229713,17.85159,0.13089329,1,2014,3
-120.4681,28.23028,17.064146,0.08777548,1,2014,3
-118.794365,28.234741,17.938581,0.08693401,1,2014,3
-115.896675,28.238003,17.602137,0.14409237,1,2014,3
-118.14711,28.238033,17.871666,0.09059981,1,2014,3
-117.81095,28.238174,18.037514,0.091215365,1,2014,3
-115.8333,28.238308,17.408821,0.17352042,1,2014,3
-119.06135,28.238562,17.810905,0.08779178,1,2014,3
-120.494675,28.238783,17.044401,0.09278814,1,2014,3
-119.9345,28.23901,17.641829,0.077578574,1,2014,3
-118.29626,28.239534,17.871256,0.093977585,1,2014,3
-117.18774,28.239647,17.978085,0.09746329,1,2014,3
-117.314224,28.240126,17.905457,0.10796789,1,2014,3
-119.02397,28.240618,17.83854,0.086079404,1,2014,3
-117.25909,28.240892,17.961683,0.10304622,1,2014,3
-117.133385,28.241325,17.941925,0.1138539,1,2014,3
-120.41836,28.241451,17.07073,0.08841086,1,2014,3
-117.54611,28.243479,17.961788,0.09855416,1,2014,3
-116.002464,28.244953,17.778896,0.13600561,1,2014,3
-117.49844,28.24506,17.963757,0.09380266,1,2014,3
-115.86217,28.246973,17.492594,0.1531698,1,2014,3
-117.3869,28.248411,17.932743,0.10425912,1,2014,3
-115.79524,28.248707,17.344954,0.20858565,1,2014,3
-120.34241,28.249348,17.149597,0.084791325,1,2014,3
-116.93696,28.250513,17.932629,0.13174058,1,2014,3
-117.4758,28.250643,17.955791,0.09771106,1,2014,3
-118.76779,28.252728,17.853865,0.089999735,1,2014,3
-117.82955,28.255716,18.012072,0.08961189,1,2014,3
-120.47168,28.256533,17.048897,0.085271105,1,2014,3
-117.27895,28.25784,17.926943,0.1050901,1,2014,3
-118.16437,28.259153,17.860699,0.09932401,1,2014,3
-117.069305,28.259407,17.937344,0.11820994,1,2014,3
-119.141655,28.260042,17.707638,0.08509759,1,2014,3
-118.61673,28.261282,17.840229,0.08747456,1,2014,3
-119.28176,28.26174,17.749645,0.0903327,1,2014,3
-117.43272,28.263533,17.942093,0.10092421,1,2014,3
-117.5973,28.26527,17.966185,0.09773787,1,2014,3
-119.87225,28.266682,17.769463,0.080236174,1,2014,3
-118.72886,28.268282,17.859692,0.0884327,1,2014,3
-116.0328,28.268702,17.822578,0.12721302,1,2014,3
-118.93579,28.269032,17.891726,0.08626514,1,2014,3
-118.593185,28.270594,17.839746,0.089000724,1,2014,3
-115.97896,28.272577,17.737423,0.13136713,1,2014,3
-120.31932,28.273502,17.189253,0.082937956,1,2014,3
-117.16559,28.274319,17.96203,0.113497116,1,2014,3
-115.9025,28.275238,17.618372,0.14801866,1,2014,3
-118.19711,28.276043,17.829205,0.0896115,1,2014,3
-115.835106,28.276068,17.455872,0.16884807,1,2014,3
-117.86227,28.276152,17.985779,0.09609469,1,2014,3
-117.00206,28.277254,17.926992,0.10774159,1,2014,3
-117.254875,28.277325,17.921455,0.106646754,1,2014,3
-115.92887,28.277489,17.691692,0.13454567,1,2014,3
-116.878784,28.277884,17.9373,0.121490486,1,2014,3
-118.566246,28.278887,17.738852,0.097824164,1,2014,3
-118.87933,28.280586,17.805126,0.09080264,1,2014,3
-117.39713,28.280848,17.859882,0.107075594,1,2014,3
-118.86936,28.281572,17.789665,0.08827988,1,2014,3
-118.98637,28.281908,17.771633,0.09558288,1,2014,3
-116.03728,28.282822,17.825165,0.13187149,1,2014,3
-117.15906,28.286348,17.94113,0.10069114,1,2014,3
